date,sale_index_total,sale_price_total,rent_index_total,rent_price_total,rent_yield_monthly
2015-10-01,199.9657424640,8475.0229175245,137.3968163919,36.0380373671,0.0041155766
2015-11-01,199.8097795059,8468.4128370787,136.3495107842,35.7633378536,0.0040874268
2015-12-01,200.0027787655,8476.5926039146,135.6753933057,35.5865224694,0.0040641781
2016-01-01,200.0375702520,8478.0671497134,135.0031398391,35.4101959999,0.0040355234
2016-02-01,200.2362189789,8486.4863543833,134.9432622975,35.3944906209,0.0040316439
2016-03-01,200.2653543644,8487.7211811926,135.0933056080,35.4338457280,0.0040338240
2016-04-01,200.3932198861,8493.1404255785,135.3616273764,35.5042242868,0.0040388540
2016-05-01,200.6432748301,8503.7383477760,135.0357651936,35.4187533579,0.0040248876
2016-06-01,200.5566710600,8500.0678743890,134.5230111175,35.2842622464,0.0040128016
2016-07-01,200.4605743831,8495.9950690706,134.0526346710,35.1608864332,0.0039996375
2016-08-01,200.1613554883,8483.3134619141,133.7350945047,35.0775982997,0.0039931518
2016-09-01,200.1512210185,8482.8839390223,133.3924288175,34.9877199520,0.0039828295
2016-10-01,200.3913563733,8493.0614454820,133.1602441139,34.9268198435,0.0039718960
2016-11-01,200.5263615939,8498.7832872526,133.0277989020,34.8920805706,0.0039655920
2016-12-01,200.8164697708,8511.0787605570,133.2313920838,34.9454813618,0.0039655649
2017-01-01,200.8268787470,8511.5199176787,133.7650825590,35.0854639159,0.0039919576
2017-02-01,201.1971782277,8527.2140888247,134.2060335080,35.2011216669,0.0039972640
2017-03-01,201.5672197240,8542.8973259784,134.6186728667,35.3093535242,0.0040012992
2017-04-01,202.1069797853,8565.7736388570,135.2389798314,35.4720548601,0.0040062223
2017-05-01,202.1758864824,8568.6940682769,136.0027625125,35.6723886781,0.0040250804
2017-06-01,202.1200462759,8566.3274277483,136.6632193219,35.8456209829,0.0040437597
2017-07-01,202.1126244294,8566.0128722763,136.7598262636,35.8709601768,0.0040469950
2017-08-01,202.4843067540,8581.7656516273,136.4314514763,35.7848302127,0.0040302326
2017-09-01,202.9037303685,8599.5418201899,136.1112614860,35.7008470526,0.0040131137
2017-10-01,203.2353680696,8613.5974133246,135.8194762063,35.6243142108,0.0039981187
2017-11-01,203.4237743799,8621.5825200659,135.8615434791,35.6353481051,0.0039955976
2017-12-01,203.6287533342,8630.2700148016,136.4079323317,35.7786613376,0.0040069867
2018-01-01,203.9656528890,8644.5486177877,137.2678254462,36.0042041194,0.0040933645
2018-02-01,204.3297991489,8659.9820008283,138.4656546668,36.3183847194,0.0041204215
2018-03-01,204.6701083886,8674.4051143583,139.5203193287,36.5950144514,0.0041442870
2018-04-01,205.0578215267,8690.8373176442,140.0704223492,36.7393018791,0.0041534784
2018-05-01,205.5419065865,8711.3539917783,140.2554282435,36.7878273800,0.0041503975
2018-06-01,205.9826345001,8730.0330871188,140.6441529968,36.8897866360,0.0041533714
2018-07-01,206.5206019436,8752.8334245961,141.2192272644,37.0406238133,0.0041592289
2018-08-01,206.5014210209,8752.0204915552,141.6925562019,37.1647740402,0.0041724431
2018-09-01,206.7480602278,8762.4736467041,141.4408603418,37.0987563183,0.0041601838
2018-10-01,206.5412809610,8753.7098504512,141.1204536868,37.0147163288,0.0041543315
