period,prior_date,latest_date,sale_prior_r_m2,sale_latest_r_m2,sale_nominal_change_pct,ipca_change_pct,sale_real_change_pct,sale_nominal_cagr_pct,sale_real_cagr_pct,rent_prior_r_m2,rent_latest_r_m2,rent_nominal_change_pct,rent_real_change_pct,rent_nominal_cagr_pct,rent_real_cagr_pct,years
12m,2025-07-01,2026-07-01,11667.404330,12098.856016,3.697923,4.443025,-0.713404,3.700425,-0.713877,61.761914,65.177167,5.529707,1.040455,5.533481,1.041150,0.999336
3y,2023-07-01,2026-07-01,10485.268297,12098.856016,15.389093,14.843995,0.474643,4.885737,0.157925,50.116506,65.177167,30.051300,13.241707,9.151265,4.231181,3.000746
5y,2021-07-01,2026-07-01,9569.007910,12098.856016,26.437935,31.454671,-3.816324,4.803998,-0.775280,39.540003,65.177167,64.838547,25.395731,10.513875,4.630629,4.999418
10y,2016-07-01,2026-07-01,8495.995069,12098.856016,42.406580,62.376996,-12.298796,3.598816,-1.303923,35.160886,65.177167,85.368384,14.159265,6.366945,1.333207,9.998836
since_2011,2011-10-01,2026-07-01,5667.287753,12098.856016,113.485825,127.281704,-6.069947,5.276505,-0.423667,30.401922,65.177167,114.385020,-5.674317,5.306511,-0.395286,14.749105
