segment,area_m2,price_brl,FipeZAP SP benchmark_gross_yield_pct,FipeZAP SP benchmark_net_20pct_costs_pct,FipeZAP SP benchmark_net_30pct_costs_pct,Observed standard sample_gross_yield_pct,Observed standard sample_net_20pct_costs_pct,Observed standard sample_net_30pct_costs_pct,Observed furnished sample_gross_yield_pct,Observed furnished sample_net_20pct_costs_pct,Observed furnished sample_net_30pct_costs_pct
79 m² / 2 dorm.,79,1300000,4.7529,3.8023,3.3270,6.1501,4.9201,4.3051,7.7177,6.1742,5.4024
111 m² / 2 dorm.,111,2050000,4.2349,3.3879,2.9644,5.4799,4.3839,3.8359,6.8766,5.5013,4.8136
157 m² / 3 dorm.,157,2600000,4.7228,3.7783,3.3060,6.1112,4.8890,4.2778,7.6688,6.1351,5.3682
188 m² / 3 dorm.,188,3500000,4.2011,3.3609,2.9408,5.4361,4.3489,3.8053,6.8217,5.4574,4.7752
241 m² / 4 dorm.,241,4400000,4.2839,3.4271,2.9987,5.5433,4.4346,3.8803,6.9561,5.5649,4.8693
